Auteur,Pseudo_Text_Sample,Mean_Distance_to_Asterius,Min_Distance
tlg2062,133_sample_1,0.9280235220988592,0.6040642261505127
tlg2062,276_sample_1,0.9393695046504339,0.7006574273109436
tlg2062,489_sample_1,0.9841801101962725,0.6710453033447266
tlg2062,290_sample_1,0.9856519227226576,0.7160251140594482
PC3,InDecemVirgines_sample_1,0.9894079069296519,0.7264581918716431
tlg2062,234_sample_1,0.9894079069296519,0.7264581918716431
PC7,DeIeiunoSermo3_sample_1,0.9968778640031815,0.6844379901885986
PC7,DeIeiunoSermo2_sample_2,1.000053495168686,0.7415749430656433
PC21,InJobSermones3_sample_2,1.0020790919661522,0.6706134080886841
tlg2062,273_sample_3,1.0024576659003894,0.731789231300354
PC5,InSanctaVirginem_sample_1,1.0034462437033653,0.7388404011726379
tlg2062,491_sample_1,1.018936648964882,0.6748701333999634
tlg2062,229_sample_1,1.0201711505651474,0.6574920415878296
tlg2062,207_sample_17,1.0250629633665085,0.7267558574676514
tlg2062,216_sample_5,1.0318211217721303,0.6703872680664062
tlg2062,237_sample_4,1.0361103489995003,0.7863441109657288
tlg2062,273_sample_1,1.0440233076612155,0.7071073651313782
tlg2062,226_sample_1,1.046728792289893,0.773696780204773
tlg2062,413_sample_1,1.0469010223944981,0.7689014673233032
tlg2062,492_sample_1,1.048902412255605,0.6107041239738464
tlg2062,359_sample_3,1.0540602107842763,0.7185128927230835
PC16,InIlludSiQuaChristoaNovaCreatura_sample_3,1.0540602107842763,0.7185128927230835
tlg2062,277_sample_1,1.0541935041546822,0.6889903545379639
PC15,InIlludHominisCuiusdam_sample_1,1.0567423353592555,0.6826869249343872
tlg2062,199_sample_1,1.0569165175159771,0.6457738280296326
PC16,InPsalmum50Homilia1_sample_1,1.0569165175159771,0.6457738280296326
tlg2062,310_sample_1,1.057701011498769,0.7170467972755432
tlg2062,203_sample_1,1.0588084161281586,0.7257421016693115
tlg2062,493_sample_1,1.0641174142559369,0.6239421963691711
tlg2062,233_sample_1,1.0643488466739655,0.6697944402694702
PC3,InIlludCollegerunt_sample_1,1.0643488466739655,0.6697944402694702
tlg2062,240_sample_1,1.0660765493909519,0.7820665240287781
tlg2062,274_sample_2,1.0705629313985507,0.7222451567649841
PC8,DePatientiaSermo1_sample_2,1.0705629313985507,0.7222451567649841
tlg2062,285_sample_1,1.074462706844012,0.8421966433525085
PC20,DePaenitentia_sample_1,1.074462706844012,0.8421966433525085
tlg2062,200_sample_2,1.0899750242630641,0.6939906477928162
PC16,InPsalmum50Homilia2_sample_2,1.0899750242630641,0.6939906477928162
tlg2062,245_sample_1,1.0917574241757393,0.8020185828208923
tlg2062,257_sample_1,1.0957871799667676,0.7756921648979187
PC5,ContraHereticos_sample_1,1.0957871799667676,0.7756921648979187
PC16,InIlludSiQuaChristoaNovaCreatura_sample_4,1.096259872118632,0.8526879549026489
tlg2062,359_sample_4,1.096259872118632,0.8526879549026489
tlg2062,338_sample_59,1.1045052632689476,0.7464733123779297
tlg2062,213_sample_17,1.1192411283651988,0.8343361616134644
tlg2062,303_sample_3,1.1260343715548515,0.6652848720550537
PC20b,InIlludSimileEstRegnumCaelorumGranoSinapis_sample_1,1.1324218213558197,0.8811949491500854
tlg2062,358_sample_1,1.1324218213558197,0.8811949491500854
tlg2062,308_sample_1,1.1339796259999275,0.8524173498153687
PC9,InIlludPatterSiPossibile_sample_1,1.1339796259999275,0.8524173498153687
tlg2062,217_sample_3,1.1346291775504749,0.7960017323493958
tlg2062,316_sample_1,1.1414833962917328,0.7847646474838257
tlg2062,118_sample_1,1.1456148127714794,0.7263023853302002
tlg2062,206_sample_6,1.1479178393880527,0.680097222328186
tlg2062,363_sample_1,1.1506810535987217,0.7945887446403503
PC12,SermoInPsalmum11_sample_1,1.1524701366821926,0.8289657235145569
tlg2062,206_sample_3,1.155833085378011,0.8244172930717468
tlg2062,274_sample_1,1.157002719740073,0.8992192149162292
PC8,DePatientiaSermo1_sample_1,1.157002719740073,0.8992192149162292
tlg2062,338_sample_153,1.158088505268097,0.5375947952270508
tlg2062,364_sample_1,1.1596947213013966,0.7443013191223145
PC16,InPsalmum50Homilia1_sample_2,1.1652065142989159,0.8118758797645569
tlg2062,199_sample_2,1.1652065142989159,0.8118758797645569
tlg2062,359_sample_1,1.1659005930026372,0.6165512800216675
PC16,InIlludSiQuaChristoaNovaCreatura_sample_1,1.1659005930026372,0.6165512800216675
tlg2062,303_sample_2,1.1667418479919434,0.7274280786514282
tlg2062,338_sample_68,1.1749838913480442,0.7044011950492859
tlg2062,206_sample_10,1.1765224610765774,0.8090919256210327
tlg2062,216_sample_4,1.1780061970154445,0.7653148770332336
tlg2062,268_sample_3,1.1792455241084099,0.8141799569129944
tlg2062,124_sample_1,1.1794248248140018,0.5614333748817444
tlg2062,216_sample_1,1.18264739215374,0.8337929248809814
PC18,InIlludSimileEstRegnumCaelorumPatriFamilias_sample_1,1.1864149396618207,0.852671205997467
tlg2062,241_sample_1,1.1864149396618207,0.852671205997467
tlg2062,122_sample_1,1.1904696250955265,0.6608113646507263
PC13,ContraIudaeosGentilesHaereticos_sample_1,1.1904696250955265,0.6608113646507263
tlg2062,423_sample_1,1.1921663880348206,0.8264684081077576
tlg2062,290_sample_2,1.192935052017371,0.8622675538063049
tlg2062,360_sample_1,1.194067840774854,0.8644002676010132
tlg2062,207_sample_14,1.199567660689354,0.7531862258911133
tlg2062,128_sample_1,1.20049948990345,0.6486110687255859
tlg2062,417_sample_1,1.2035493403673172,0.9180403351783752
tlg2062,209_sample_1,1.2037649775544803,0.8267232179641724
tlg2062,207_sample_1,1.2038448676466942,0.696889340877533
tlg2062,134_sample_1,1.205811766286691,0.8641349673271179
tlg2062,321_sample_1,1.207496536274751,0.804608166217804
tlg2062,338_sample_83,1.2075952167312305,0.6503052115440369
PC16,InIlludSiQuaChristoaNovaCreatura_sample_2,1.2089665780464809,0.7929715514183044
tlg2062,359_sample_2,1.2089665780464809,0.7929715514183044
