Base_Document,Pairing_Percentage
335,100.0
277,100.0
252,100.0
253,100.0
InJobSermones2,100.0
DePaenitentia,100.0
276,100.0
226,100.0
285,100.0
InJobSermones3,97.91666666666666
InIlludExiitQuiSeminat,95.83333333333334
294,95.83333333333334
DeEpiphania,95.83333333333334
219,95.83333333333334
314,95.83333333333334
133,95.83333333333334
452,95.83333333333334
270,93.75
DePoenintentiaSermo2,93.75
234,91.66666666666666
240,91.66666666666666
304,91.66666666666666
492,91.66666666666666
139,91.66666666666666
InDecemVirgines,91.66666666666666
110,91.66666666666666
InVenerabilemCrucem,91.66666666666666
203,87.5
InIlludSimileEstRegnumCaelorumPatriFamilias,86.11111111111111
241,86.11111111111111
322,83.33333333333334
212,83.33333333333334
ContraHereticos,83.33333333333334
124,83.33333333333334
257,83.33333333333334
198,83.33333333333334
InSanctaVirginem,83.33333333333334
108,83.33333333333334
417,83.33333333333334
278,83.33333333333334
360,83.33333333333334
229,81.25
InSecundamFeriam1,81.25
321,81.25
271,79.16666666666666
310,79.16666666666666
DePoenintentiaSermo3,79.16666666666666
429,75.0
489,75.0
366,75.0
136,75.0
303,73.61111111111111
118,70.83333333333334
415,70.83333333333334
122,70.83333333333334
279,70.83333333333334
ContraIudaeosGentilesHaereticos,70.83333333333334
337,70.83333333333334
316,70.83333333333334
228,70.83333333333334
325,70.83333333333334
328,70.83333333333334
491,70.83333333333334
208,70.83333333333334
127,68.05555555555556
494,66.66666666666666
196,66.66666666666666
334,66.66666666666666
362,66.66666666666666
DePrecatione2,66.66666666666666
SermoInPsalmum11,66.66666666666666
413,66.66666666666666
141,64.58333333333334
InIlludSufficitTibiGratiaMea,63.888888888888886
230,63.888888888888886
301,62.5
318,62.5
201,62.5
135,62.5
326,62.5
363,62.5
493,62.5
206,61.93181818181818
359,61.458333333333336
InIlludSiQuaChristoaNovaCreatura,61.458333333333336
InPsalmum50Homilia1,60.416666666666664
199,60.416666666666664
268,60.416666666666664
307,58.333333333333336
207,57.45614035087719
290,57.291666666666664
DePatientiaSermo1,56.25
274,56.25
216,54.861111111111114
283,54.166666666666664
InRachelemEtInInfantes,54.166666666666664
DeIeiunoSermo1,54.166666666666664
291,54.166666666666664
438,54.166666666666664
348,54.166666666666664
317,54.166666666666664
DeRemissionePeccatorum,54.166666666666664
217,52.5
200,51.388888888888886
InPsalmum50Homilia2,51.388888888888886
182,50.0
292,50.0
502,50.0
140,50.0
InIlludHominisCuiusdam,50.0
InGenesimSermones1,50.0
435,50.0
358,50.0
281,50.0
InIlludSimileEstRegnumCaelorumGranoSinapis,50.0
420,50.0
235,48.61111111111111
352,45.83333333333333
132,45.83333333333333
232,45.83333333333333
134,45.83333333333333
InGenesimSermones2,45.83333333333333
237,44.642857142857146
338,44.25381263616558
Enkomium,43.75
128,43.75
273,42.5
204,41.66666666666667
DeIeiunoSermo3,41.66666666666667
DeIeiunoSermo7,41.66666666666667
202,41.66666666666667
DeTurtureSeuDeEcclesiaSermo,41.66666666666667
364,41.66666666666667
DeIeiunoSermo2,41.66666666666667
211,41.66666666666667
347,41.66666666666667
437,41.66666666666667
209,39.473684210526315
InIlludPatterSiPossibile,37.5
258,37.5
138,37.5
125,37.5
308,37.5
DePoenintentiaSermo1,37.03703703703704
269,37.03703703703704
213,35.138888888888886
365,33.33333333333333
248,33.33333333333333
119,33.33333333333333
305,33.33333333333333
130,33.33333333333333
356,33.33333333333333
InIlludAscenditDominusInTemplo,33.33333333333333
367,33.33333333333333
245,33.33333333333333
330,33.33333333333333
123,32.29166666666667
432,30.0
DeIeiunoSermo4,29.166666666666668
297,29.166666666666668
423,29.166666666666668
332,29.166666666666668
495,27.500000000000004
421,27.083333333333332
249,25.0
DePrecatione1,25.0
103,25.0
425,25.0
DeIeiunoSermo5,22.916666666666664
DePatientiaSermo2,20.833333333333336
InIlludCollegerunt,20.833333333333336
InParabolamDeFilioProdigo,20.833333333333336
017,20.833333333333336
233,20.833333333333336
210,20.833333333333336
282,20.833333333333336
286,20.833333333333336
293,20.833333333333336
231,20.833333333333336
121,20.833333333333336
275,20.833333333333336
104,20.833333333333336
247,20.833333333333336
107,16.666666666666664
120,16.666666666666664
309,16.666666666666664
331,16.666666666666664
InPaschaSermones6,15.833333333333332
265,15.833333333333332
InPaschaSermones7,15.625
266,15.625
430,12.5
220,12.5
