ComparedClass,ComparedLabel,ComparatorClass,ComparatorLabel,Distance,Probability,Attribution,IsAPair,K,Base_Document,Is_Match
PC10,DePrecatione1_sample_1,asterius,fragmenta_sample_1,1.217988133430481,-0.21798813343048096,False,,-1,DePrecatione1,1
PC10,DePrecatione1_sample_1,Asterius,oratio1_sample_1,1.8554620742797852,-0.8554620742797852,False,,-1,DePrecatione1,0
PC10,DePrecatione1_sample_1,asterius,oratio10_sample_1,2.139186143875122,-1.139186143875122,False,,-1,DePrecatione1,0
PC10,DePrecatione1_sample_1,asterius,oratio10_sample_2,1.1999921798706055,-0.19999217987060547,False,,-1,DePrecatione1,1
PC10,DePrecatione1_sample_1,asterius,oratio12_sample_1,2.0104057788848877,-1.0104057788848877,False,,-1,DePrecatione1,0
PC10,DePrecatione1_sample_1,asterius,oratio13_sample_1,2.324486017227173,-1.3244860172271729,False,,-1,DePrecatione1,0
PC10,DePrecatione1_sample_1,asterius,oratio13_sample_2,3.235976219177246,-2.235976219177246,False,,-1,DePrecatione1,0
PC10,DePrecatione1_sample_1,asterius,oratio14_sample_1,1.2764463424682617,-0.2764463424682617,False,,-1,DePrecatione1,1
PC10,DePrecatione1_sample_1,asterius,oratio14_sample_2,2.6011061668395996,-1.6011061668395996,False,,-1,DePrecatione1,0
PC10,DePrecatione1_sample_1,asterius,oratio15_sample_1,1.4675742387771606,-0.46757423877716064,False,,-1,DePrecatione1,1
PC10,DePrecatione1_sample_1,asterius,oratio16_sample_1,1.5597639083862305,-0.5597639083862305,False,,-1,DePrecatione1,1
PC10,DePrecatione1_sample_1,asterius,oratio2_sample_1,2.173482894897461,-1.173482894897461,False,,-1,DePrecatione1,0
PC10,DePrecatione1_sample_1,asterius,oratio3_sample_1,1.5659806728363037,-0.5659806728363037,False,,-1,DePrecatione1,1
PC10,DePrecatione1_sample_1,asterius,oratio3_sample_2,2.3691248893737793,-1.3691248893737793,False,,-1,DePrecatione1,0
PC10,DePrecatione1_sample_1,asterius,oratio4_sample_1,3.119462013244629,-2.119462013244629,False,,-1,DePrecatione1,0
PC10,DePrecatione1_sample_1,asterius,oratio5_sample_1,2.490037441253662,-1.490037441253662,False,,-1,DePrecatione1,0
PC10,DePrecatione1_sample_1,asterius,oratio6_sample_1,2.2381935119628906,-1.2381935119628906,False,,-1,DePrecatione1,0
PC10,DePrecatione1_sample_1,asterius,oratio7_sample_1,2.8381869792938232,-1.8381869792938232,False,,-1,DePrecatione1,0
PC10,DePrecatione1_sample_1,asterius,oratio8_sample_1,2.348045825958252,-1.348045825958252,False,,-1,DePrecatione1,0
PC10,DePrecatione1_sample_1,asterius,oratio8_sample_2,2.0749435424804688,-1.0749435424804688,False,,-1,DePrecatione1,0
PC10,DePrecatione1_sample_1,asterius,oratio8_sample_3,3.025676965713501,-2.025676965713501,False,,-1,DePrecatione1,0
PC10,DePrecatione1_sample_1,asterius,oratio8_sample_4,2.1520836353302,-1.1520836353302002,False,,-1,DePrecatione1,0
PC10,DePrecatione1_sample_1,asterius,oratio8_sample_5,2.885747194290161,-1.8857471942901611,False,,-1,DePrecatione1,0
PC10,DePrecatione1_sample_1,asterius,oratio9_sample_1,2.128451347351074,-1.1284513473510742,False,,-1,DePrecatione1,0
PC10,DePrecatione2_sample_1,asterius,fragmenta_sample_1,0.8047841787338257,0.19521582126617432,False,,-1,DePrecatione2,1
PC10,DePrecatione2_sample_1,Asterius,oratio1_sample_1,1.3390837907791138,-0.33908379077911377,False,,-1,DePrecatione2,1
PC10,DePrecatione2_sample_1,asterius,oratio10_sample_1,1.2916229963302612,-0.29162299633026123,False,,-1,DePrecatione2,1
PC10,DePrecatione2_sample_1,asterius,oratio10_sample_2,0.7852967977523804,0.21470320224761963,False,,-1,DePrecatione2,1
PC10,DePrecatione2_sample_1,asterius,oratio12_sample_1,1.1668505668640137,-0.16685056686401367,False,,-1,DePrecatione2,1
PC10,DePrecatione2_sample_1,asterius,oratio13_sample_1,1.3524068593978882,-0.3524068593978882,False,,-1,DePrecatione2,1
PC10,DePrecatione2_sample_1,asterius,oratio13_sample_2,1.6584206819534302,-0.6584206819534302,False,,-1,DePrecatione2,0
PC10,DePrecatione2_sample_1,asterius,oratio14_sample_1,0.6803842782974243,0.3196157217025757,False,,-1,DePrecatione2,1
PC10,DePrecatione2_sample_1,asterius,oratio14_sample_2,1.8079677820205688,-0.8079677820205688,False,,-1,DePrecatione2,0
PC10,DePrecatione2_sample_1,asterius,oratio15_sample_1,0.7150641083717346,0.2849358916282654,False,,-1,DePrecatione2,1
PC10,DePrecatione2_sample_1,asterius,oratio16_sample_1,0.910904586315155,0.08909541368484497,False,,-1,DePrecatione2,1
PC10,DePrecatione2_sample_1,asterius,oratio2_sample_1,1.3754011392593384,-0.3754011392593384,False,,-1,DePrecatione2,1
PC10,DePrecatione2_sample_1,asterius,oratio3_sample_1,0.9295099973678589,0.07049000263214111,False,,-1,DePrecatione2,1
PC10,DePrecatione2_sample_1,asterius,oratio3_sample_2,1.909198522567749,-0.909198522567749,False,,-1,DePrecatione2,0
PC10,DePrecatione2_sample_1,asterius,oratio4_sample_1,2.0632448196411133,-1.0632448196411133,False,,-1,DePrecatione2,0
PC10,DePrecatione2_sample_1,asterius,oratio5_sample_1,1.8433316946029663,-0.8433316946029663,False,,-1,DePrecatione2,0
PC10,DePrecatione2_sample_1,asterius,oratio6_sample_1,1.3754045963287354,-0.37540459632873535,False,,-1,DePrecatione2,1
PC10,DePrecatione2_sample_1,asterius,oratio7_sample_1,1.3911004066467285,-0.3911004066467285,False,,-1,DePrecatione2,1
PC10,DePrecatione2_sample_1,asterius,oratio8_sample_1,1.35484778881073,-0.35484778881073,False,,-1,DePrecatione2,1
PC10,DePrecatione2_sample_1,asterius,oratio8_sample_2,1.263107419013977,-0.26310741901397705,False,,-1,DePrecatione2,1
PC10,DePrecatione2_sample_1,asterius,oratio8_sample_3,1.8876781463623047,-0.8876781463623047,False,,-1,DePrecatione2,0
PC10,DePrecatione2_sample_1,asterius,oratio8_sample_4,1.6767160892486572,-0.6767160892486572,False,,-1,DePrecatione2,0
PC10,DePrecatione2_sample_1,asterius,oratio8_sample_5,1.8644404411315918,-0.8644404411315918,False,,-1,DePrecatione2,0
PC10,DePrecatione2_sample_1,asterius,oratio9_sample_1,1.3773549795150757,-0.3773549795150757,False,,-1,DePrecatione2,1
PC12,InSecundamFeriam1_sample_1,asterius,fragmenta_sample_1,1.030504584312439,-0.030504584312438965,False,,-1,InSecundamFeriam1,1
PC12,InSecundamFeriam1_sample_1,Asterius,oratio1_sample_1,1.3191227912902832,-0.3191227912902832,False,,-1,InSecundamFeriam1,1
PC12,InSecundamFeriam1_sample_1,asterius,oratio10_sample_1,1.1068288087844849,-0.10682880878448486,False,,-1,InSecundamFeriam1,1
PC12,InSecundamFeriam1_sample_1,asterius,oratio10_sample_2,1.3493486642837524,-0.34934866428375244,False,,-1,InSecundamFeriam1,1
PC12,InSecundamFeriam1_sample_1,asterius,oratio12_sample_1,1.314626693725586,-0.31462669372558594,False,,-1,InSecundamFeriam1,1
PC12,InSecundamFeriam1_sample_1,asterius,oratio13_sample_1,1.507491946220398,-0.507491946220398,False,,-1,InSecundamFeriam1,1
PC12,InSecundamFeriam1_sample_1,asterius,oratio13_sample_2,1.9194400310516357,-0.9194400310516357,False,,-1,InSecundamFeriam1,0
PC12,InSecundamFeriam1_sample_1,asterius,oratio14_sample_1,1.5022270679473877,-0.5022270679473877,False,,-1,InSecundamFeriam1,1
PC12,InSecundamFeriam1_sample_1,asterius,oratio14_sample_2,1.6650059223175049,-0.6650059223175049,False,,-1,InSecundamFeriam1,0
PC12,InSecundamFeriam1_sample_1,asterius,oratio15_sample_1,0.9514469504356384,0.04855304956436157,False,,-1,InSecundamFeriam1,1
PC12,InSecundamFeriam1_sample_1,asterius,oratio16_sample_1,1.3195927143096924,-0.3195927143096924,False,,-1,InSecundamFeriam1,1
PC12,InSecundamFeriam1_sample_1,asterius,oratio2_sample_1,1.4906749725341797,-0.4906749725341797,False,,-1,InSecundamFeriam1,1
PC12,InSecundamFeriam1_sample_1,asterius,oratio3_sample_1,1.0156522989273071,-0.01565229892730713,False,,-1,InSecundamFeriam1,1
PC12,InSecundamFeriam1_sample_1,asterius,oratio3_sample_2,1.5815619230270386,-0.5815619230270386,False,,-1,InSecundamFeriam1,1
PC12,InSecundamFeriam1_sample_1,asterius,oratio4_sample_1,1.7030205726623535,-0.7030205726623535,False,,-1,InSecundamFeriam1,0
PC12,InSecundamFeriam1_sample_1,asterius,oratio5_sample_1,1.329764723777771,-0.329764723777771,False,,-1,InSecundamFeriam1,1
PC12,InSecundamFeriam1_sample_1,asterius,oratio6_sample_1,1.2028954029083252,-0.2028954029083252,False,,-1,InSecundamFeriam1,1
